invoice_number,project_number,part_number,quantity,total_price
2024-1206,US25A0033,PRX315t_FSC,2,1968
2024-1206,US25A0033,PRX316t_FSC,2,1994
2024-1206,US25A0033,CP111,11,4840
2024-1206,US25A0033,350.2.2,1690,2366
2024-1206,US25A0033,350.2.8,200,280
2024-1206,US25A0027,350.2.9,200,280
2024-1206,US25A0027,LOB240,2,2430
2024-1206,US25A0027,LAG9101t_FSC,4,1636
2024-1206,US25A0027,LAG1121t_FSC,16,6112
2024-1206,US25A0027,PQA111t_FSC (pint),2,802
2024-1206,US25A0027,PQA156-02t_FSC (pint),3,2103
2024-1206,US25A0027,PRX315t_FSC,1,984
2024-1206,US25A0027,LLP255,4,3172
2024-1206,US25A0027,LLP235,2,698
2024-1206,US24A0269,SL506-C5,14,1722
2024-1206,US24A0269,PRX345-atp-plano,2,1830
2024-1206,US24A0269,PRX345-atp-plano,2,1830
2024-1206,US24A0269,SL250,1,259
2024-1206,US24A0269,RTS1501t_FSC,4,4024
2024-1206,US24A0269,RTS1571t_FSC,5,5265
2024-1206,US24A0269,LBQ1551-10t_FSC,5,6190
